x,y
84.0,825.0
84.0,729.0
84.0,723.0
84.0,717.0
84.0,711.0
84.0,705.0
84.0,699.0
84.0,693.0
84.0,687.0
84.0,681.0
84.0,675.0
84.0,669.0
84.0,663.0
84.0,657.0
84.0,645.0
84.0,639.0
84.0,633.0
84.0,627.0
84.0,621.0
84.0,615.0
84.0,609.0
84.0,603.0
84.0,597.0
84.0,591.0
84.0,39.0
84.0,33.0
87.0,1164.0
87.0,1158.0
87.0,1098.0
87.0,1092.0
87.0,1086.0
87.0,1080.0
87.0,1074.0
87.0,1068.0
87.0,1062.0
87.0,1056.0
87.0,1050.0
87.0,1044.0
87.0,1038.0
87.0,1032.0
87.0,1026.0
87.0,1020.0
87.0,1014.0
87.0,1002.0
87.0,726.0
87.0,720.0
87.0,714.0
87.0,708.0
87.0,702.0
87.0,696.0
87.0,690.0
87.0,684.0
87.0,678.0
87.0,672.0
87.0,666.0
87.0,660.0
87.0,654.0
87.0,648.0
87.0,642.0
87.0,636.0
87.0,630.0
87.0,624.0
87.0,618.0
87.0,612.0
87.0,606.0
87.0,336.0
87.0,330.0
87.0,324.0
87.0,318.0
87.0,312.0
87.0,306.0
87.0,300.0
87.0,294.0
87.0,288.0
87.0,282.0
90.0,1521.0
90.0,1515.0
90.0,1509.0
90.0,1503.0
90.0,1497.0
90.0,1491.0
90.0,1197.0
90.0,1191.0
90.0,1185.0
90.0,1179.0
90.0,1173.0
90.0,1167.0
90.0,1161.0
90.0,1155.0
90.0,1149.0
90.0,1101.0
90.0,1095.0
90.0,1089.0
90.0,1083.0
90.0,1077.0
90.0,1071.0
90.0,1065.0
90.0,1059.0
90.0,1053.0
90.0,1035.0
90.0,1029.0
90.0,1023.0
90.0,1017.0
90.0,1011.0
90.0,921.0
90.0,915.0
90.0,909.0
90.0,903.0
90.0,897.0
90.0,891.0
90.0,885.0
90.0,879.0
90.0,729.0
90.0,723.0
90.0,717.0
90.0,711.0
90.0,705.0
90.0,699.0
90.0,693.0
90.0,687.0
90.0,681.0
90.0,675.0
90.0,669.0
90.0,663.0
90.0,657.0
90.0,651.0
90.0,645.0
90.0,639.0
90.0,633.0
90.0,627.0
90.0,621.0
90.0,615.0
90.0,609.0
90.0,603.0
90.0,39.0
93.0,1164.0
93.0,1158.0
93.0,1104.0
93.0,1098.0
93.0,1092.0
93.0,1086.0
93.0,1080.0
93.0,1074.0
93.0,1068.0
93.0,1062.0
93.0,1056.0
93.0,1050.0
93.0,1044.0
93.0,1038.0
93.0,1032.0
93.0,1026.0
93.0,1020.0
93.0,1002.0
93.0,732.0
93.0,726.0
93.0,720.0
93.0,714.0
93.0,708.0
93.0,702.0
93.0,696.0
93.0,684.0
93.0,678.0
93.0,672.0
93.0,666.0
93.0,660.0
93.0,654.0
93.0,648.0
93.0,642.0
93.0,636.0
93.0,630.0
93.0,624.0
93.0,618.0
93.0,612.0
93.0,336.0
93.0,330.0
93.0,324.0
93.0,318.0
93.0,312.0
93.0,306.0
93.0,300.0
93.0,294.0
93.0,288.0
93.0,282.0
96.0,1521.0
96.0,1515.0
96.0,1509.0
96.0,1503.0
96.0,1497.0
96.0,1491.0
96.0,1197.0
96.0,1191.0
96.0,1185.0
96.0,1179.0
96.0,1173.0
96.0,1167.0
96.0,1161.0
96.0,1155.0
96.0,1149.0
96.0,1101.0
96.0,1095.0
96.0,1089.0
96.0,1083.0
96.0,1077.0
96.0,1071.0
96.0,1065.0
96.0,1029.0
96.0,1023.0
96.0,1017.0
96.0,1011.0
96.0,927.0
96.0,921.0
96.0,915.0
96.0,891.0
96.0,885.0
96.0,879.0
96.0,735.0
96.0,729.0
96.0,723.0
96.0,717.0
96.0,711.0
96.0,705.0
96.0,699.0
96.0,693.0
96.0,687.0
96.0,681.0
96.0,675.0
96.0,669.0
96.0,663.0
96.0,657.0
96.0,651.0
96.0,645.0
96.0,639.0
96.0,633.0
96.0,627.0
96.0,621.0
96.0,615.0
96.0,609.0
96.0,603.0
99.0,1164.0
99.0,1104.0
99.0,1098.0
99.0,1080.0
99.0,1074.0
99.0,1062.0
99.0,1026.0
99.0,1020.0
99.0,1014.0
99.0,1008.0
99.0,744.0
99.0,738.0
99.0,732.0
99.0,726.0
99.0,720.0
99.0,714.0
99.0,708.0
99.0,690.0
99.0,678.0
99.0,672.0
99.0,666.0
99.0,660.0
99.0,654.0
99.0,648.0
99.0,642.0
99.0,636.0
99.0,630.0
99.0,624.0
99.0,618.0
99.0,612.0
99.0,606.0
102.0,1521.0
102.0,1515.0
102.0,1509.0
102.0,1503.0
102.0,1497.0
102.0,1491.0
102.0,1197.0
102.0,1191.0
102.0,1185.0
102.0,1179.0
102.0,1173.0
102.0,1167.0
102.0,1161.0
102.0,1155.0
102.0,1149.0
102.0,1107.0
102.0,1101.0
102.0,1095.0
102.0,1089.0
102.0,1083.0
102.0,1077.0
102.0,1071.0
102.0,1065.0
102.0,1029.0
102.0,1023.0
102.0,1017.0
102.0,1011.0
102.0,921.0
102.0,915.0
102.0,891.0
102.0,885.0
102.0,879.0
102.0,747.0
102.0,741.0
102.0,735.0
102.0,729.0
102.0,723.0
102.0,717.0
102.0,711.0
102.0,705.0
102.0,699.0
102.0,693.0
102.0,687.0
102.0,681.0
102.0,675.0
102.0,669.0
102.0,663.0
102.0,657.0
102.0,651.0
102.0,645.0
102.0,639.0
102.0,633.0
102.0,627.0
102.0,621.0
102.0,615.0
102.0,609.0
102.0,603.0
105.0,1152.0
105.0,1146.0
105.0,1098.0
105.0,1092.0
105.0,1086.0
105.0,1080.0
105.0,1074.0
105.0,1062.0
105.0,1056.0
105.0,1050.0
105.0,1044.0
105.0,1038.0
105.0,1032.0
105.0,1026.0
105.0,1020.0
105.0,1014.0
105.0,750.0
105.0,744.0
105.0,738.0
105.0,732.0
105.0,726.0
105.0,720.0
105.0,714.0
105.0,708.0
105.0,702.0
105.0,696.0
105.0,690.0
105.0,684.0
105.0,678.0
105.0,672.0
105.0,666.0
105.0,660.0
105.0,654.0
105.0,648.0
105.0,642.0
105.0,636.0
105.0,630.0
105.0,624.0
105.0,618.0
105.0,612.0
105.0,606.0
108.0,1521.0
108.0,1515.0
108.0,1509.0
108.0,1503.0
108.0,1497.0
108.0,1491.0
108.0,1197.0
108.0,1191.0
108.0,1185.0
108.0,1179.0
108.0,1173.0
108.0,1167.0
108.0,1161.0
108.0,1155.0
108.0,1149.0
108.0,1101.0
108.0,1095.0
108.0,1089.0
108.0,1083.0
108.0,1077.0
108.0,1071.0
108.0,1065.0
108.0,1053.0
108.0,1047.0
108.0,1041.0
108.0,1035.0
108.0,1029.0
108.0,1023.0
108.0,1017.0
108.0,915.0
108.0,909.0
